+OT(min),Kdlmn(Km),PhaseCount,Mag,MagCount,Predictions
0.001711147,0.009421265,0.256410256,0.509536785,0.487179487,0.48717948699999997
0.001826182,0.009421265,0.256410256,0.509536785,0.487179487,0.48717948699999997
0.002070632,0.009421265,0.256410256,0.51226158,0.487179487,0.48717948699999997
0.002185667,0.009421265,0.256410256,0.51226158,0.487179487,0.48717948699999997
0.002300702,0.009421265,0.256410256,0.51226158,0.487179487,0.48717948699999997
0.002545151,0.009421265,0.256410256,0.51226158,0.487179487,0.48717948699999997
0.002832739,0.009421265,0.256410256,0.51226158,0.487179487,0.48717948699999997
0.002832739,0.009421265,0.269230769,0.520435967,0.512820513,0.5042735043333333
0.003149085,0.009421265,0.269230769,0.520435967,0.512820513,0.5042735043333333
0.013229035,0.009421265,0.294871795,0.485013624,0.461538462,0.478632479
0.013229035,0.009421265,0.294871795,0.514986376,0.461538462,0.4957264959999999
0.512581962,0.03230148,0.512820513,0.463215259,0.256410256,0.256410256
0.512581962,0.03230148,0.512820513,0.465940054,0.256410256,0.256410256
0.512682618,0.03230148,0.512820513,0.463215259,0.256410256,0.256410256
0.0,0.00269179,0.102564103,0.332425068,0.230769231,0.230769231
2.87588e-05,0.00269179,0.102564103,0.335149864,0.230769231,0.230769231
0.000143794,0.00269179,0.102564103,0.335149864,0.230769231,0.230769231
0.000201311,0.00269179,0.102564103,0.335149864,0.230769231,0.230769231
0.000201311,0.00269179,0.128205128,0.329700272,0.282051282,0.282051282
0.000273208,0.00269179,0.128205128,0.329700272,0.282051282,0.282051282
0.000431382,0.00269179,0.128205128,0.329700272,0.282051282,0.282051282
0.000431382,0.00269179,0.141025641,0.326975477,0.307692308,0.307692308
0.000632693,0.00269179,0.141025641,0.326975477,0.307692308,0.307692308
0.001107213,0.00269179,0.141025641,0.326975477,0.307692308,0.307692308
0.001826182,0.00269179,0.141025641,0.326975477,0.307692308,0.307692308
0.002070632,0.00269179,0.141025641,0.326975477,0.307692308,0.307692308
0.002070632,0.00269179,0.153846154,0.332425068,0.333333333,0.31623931633333335
0.002401357,0.00269179,0.166666667,0.583106267,0.333333333,0.333333333
0.002660186,0.00269179,0.166666667,0.583106267,0.333333333,0.333333333
0.002789601,0.00269179,0.166666667,0.583106267,0.333333333,0.333333333
0.005248476,0.009421265,0.435897436,0.329700272,0.384615385,0.384615385
0.005248476,0.009421265,0.435897436,0.329700272,0.384615385,0.384615385
0.005449787,0.009421265,0.435897436,0.329700272,0.384615385,0.384615385
0.005521684,0.009421265,0.435897436,0.329700272,0.384615385,0.384615385
0.533892212,0.009421265,0.461538462,0.332425068,0.358974359,0.358974359
0.533906592,0.009421265,0.461538462,0.332425068,0.358974359,0.358974359
0.533978488,0.009421265,0.461538462,0.332425068,0.358974359,0.358974359
0.017427815,0.009421265,0.166666667,0.896457766,0.333333333,0.3418803416666667
0.017830438,0.009421265,0.166666667,0.89373297,0.333333333,0.3418803416666667
0.017859197,0.009421265,0.179487179,0.89373297,0.358974359,0.358974359
0.018506269,0.009421265,0.192307692,0.89373297,0.384615385,0.384615385
0.01872196,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.027234557,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.027320833,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.027464627,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.027680317,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.027953526,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.028183596,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.028399287,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.028643736,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.028888186,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.029118256,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.029391464,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.029650293,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.029894743,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.030110434,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.030340504,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.030584953,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.030843782,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.031088232,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.031332681,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.031562752,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.031807201,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.03206603,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.03231048,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.03252617,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.032784999,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.033029449,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.033273899,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.033489589,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.033777177,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034007247,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034251697,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034467388,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034711837,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034941907,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.035186357,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.035430806,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.035660877,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.035905326,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.036149776,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.036408605,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.036653054,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.036883124,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.037127574,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.037372023,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.037630852,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.037875302,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.038105372,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.038349822,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.038594271,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.038824341,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.039068791,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.039313241,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.039543311,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.047265041,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.071666858,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
